中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,191 ms,132 Mbps,16896 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,124 ms,49 Mbps,6345 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,186 ms,82 Mbps,10547 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,202 ms,37 Mbps,4847 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,224 ms,2 Mbps,328 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,220 ms,80 Mbps,10240 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,38 Mbps,4911 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,227 ms,92 Mbps,11776 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:11d,KR,Seoul,隧道,207 ms,74 Mbps,9495 kB/s
130.162.144.191,443,2a09:bac5:4737:1a14::299:6a,KR,Seoul,隧道,208 ms,30 Mbps,3967 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,211 ms,32 Mbps,4130 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,207 ms,69 Mbps,8892 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,217 ms,33 Mbps,4281 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,109 ms,29 Mbps,3817 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,214 ms,4 Mbps,561 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,247 ms,1 Mbps,159 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,250 ms,0 Mbps,22 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,215 ms,3 Mbps,462 kB/s
168.138.165.174,443,168.138.165.174,SG,San Jose,中转,214 ms,0 Mbps,106 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,230 ms,1 Mbps,218 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,284 ms,0 Mbps,18 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,217 ms,0 Mbps,90 kB/s
