中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,150 Mbps,19251 kB/s,19251.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,116 ms,141 Mbps,18124 kB/s,18124.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,168 ms,123 Mbps,15769 kB/s,15769.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,199 ms,93 Mbps,11980 kB/s,11980.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,25 ms,87 Mbps,11161 kB/s,11161.0
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,191 ms,80 Mbps,10240 kB/s,10240.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,239 ms,76 Mbps,9837 kB/s,9837.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,215 ms,71 Mbps,9110 kB/s,9110.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,249 ms,70 Mbps,8973 kB/s,8973.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,127 ms,69 Mbps,8861 kB/s,8861.0
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,215 ms,68 Mbps,8807 kB/s,8807.0
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,208 ms,68 Mbps,8769 kB/s,8769.0
8.212.48.236,443,47.76.21.103,HK,Hong Kong,隧道,260 ms,68 Mbps,8711 kB/s,8711.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,195 ms,67 Mbps,8667 kB/s,8667.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,24 ms,67 Mbps,8662 kB/s,8662.0
8.212.44.95,443,47.76.21.100,HK,Hong Kong,隧道,231 ms,64 Mbps,8215 kB/s,8215.0
158.180.88.31,443,2602:ffe4:407:20da:0:e946:ff8:fdc,SG,Singapore,隧道,254 ms,57 Mbps,7339 kB/s,7339.0
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,239 ms,55 Mbps,7043 kB/s,7043.0
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,127 ms,51 Mbps,6581 kB/s,6581.0
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,106 ms,48 Mbps,6258 kB/s,6258.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,112 ms,48 Mbps,6199 kB/s,6199.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,106 ms,48 Mbps,6169 kB/s,6169.0
8.219.192.155,443,8.222.210.246,SG,Singapore,隧道,259 ms,47 Mbps,6141 kB/s,6141.0
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,117 ms,47 Mbps,6100 kB/s,6100.0
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,62 ms,47 Mbps,6050 kB/s,6050.0
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,233 ms,44 Mbps,5691 kB/s,5691.0
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,120 ms,43 Mbps,5512 kB/s,5512.0
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,129 ms,42 Mbps,5428 kB/s,5428.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,106 ms,42 Mbps,5376 kB/s,5376.0
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,23 ms,41 Mbps,5367 kB/s,5367.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,110 ms,41 Mbps,5330 kB/s,5330.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,111 ms,41 Mbps,5300 kB/s,5300.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,220 ms,39 Mbps,5047 kB/s,5047.0
155.248.196.123,443,155.248.196.123,US,Toronto,中转,72 ms,39 Mbps,5019 kB/s,5019.0
146.56.188.113,443,146.56.188.113,KR,Seoul,中转,229 ms,38 Mbps,4964 kB/s,4964.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,186 ms,37 Mbps,4772 kB/s,4772.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,198 ms,35 Mbps,4545 kB/s,4545.0
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,570 ms,35 Mbps,4529 kB/s,4529.0
130.162.144.191,443,2a09:bac1:3f20::22:13d,KR,Seoul,隧道,223 ms,32 Mbps,4210 kB/s,4210.0
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,239 ms,30 Mbps,3966 kB/s,3966.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,229 ms,30 Mbps,3940 kB/s,3940.0
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,248 ms,29 Mbps,3796 kB/s,3796.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,208 ms,27 Mbps,3555 kB/s,3555.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,587 ms,27 Mbps,3463 kB/s,3463.0
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,126 ms,20 Mbps,2594 kB/s,2594.0
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,259 ms,10 Mbps,1393 kB/s,1393.0
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,215 ms,1 Mbps,169 kB/s,169.0
8.219.63.239,443,8.219.142.198,SG,Singapore,隧道,258 ms,0 Mbps,65 kB/s,65.0
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,240 ms,0 Mbps,18 kB/s,18.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,354 ms,0 Mbps,10 kB/s,10.0
