中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
130.61.23.77,443,130.61.23.77,164 Mbps,21094 kB/s
143.47.182.90,443,2a0b:21c0:1007:1c9:0:7a8f:a068:d47a,DE,Frankfurt,隧道,114 ms,183 Mbps,23449 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,87 ms,50 Mbps,6404 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,119 ms,240 Mbps,30720 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,110 ms,204 Mbps,26112 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,111 ms,47 Mbps,6093 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,106 ms,21 Mbps,2813 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,116 ms,174 Mbps,22323 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,122 ms,46 Mbps,5918 kB/s
158.101.208.175,443,2a0b:21c0:100a:1b4:0:f8d0:d155:8734,DE,Frankfurt,隧道,122 ms,176 Mbps,22528 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,131 ms,32 Mbps,4103 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,117 ms,10 Mbps,1296 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,127 ms,76 Mbps,9746 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,114 ms,44 Mbps,5740 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,110 ms,42 Mbps,5480 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,229 ms,78 Mbps,10035 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,193 ms,112 Mbps,14438 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,221 ms,30 Mbps,3951 kB/s
150.230.63.93,443,150.230.63.93,JP,41 Mbps,5264 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,218 ms,32 Mbps,4182 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,182 ms,108 Mbps,13824 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,238 ms,2 Mbps,346 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,214 ms,41 Mbps,5372 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,221 ms,3 Mbps,510 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,191 ms,36 Mbps,4615 kB/s
130.162.144.191,443,2a09:bac5:4736:1482::20b:60,KR,Seoul,隧道,215 ms,30 Mbps,3920 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,201 ms,34 Mbps,4375 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,228 ms,50 Mbps,6450 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,192 ms,80 Mbps,10240 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,207 ms,84 Mbps,10752 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,210 ms,70 Mbps,9055 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,187 ms,33 Mbps,4241 kB/s
